,COUNTY,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,year
64,San Juan,363744.0,192766.0,147790.0,151520.0,23862.0,17348.0,54381.0,71175.0,72480.0,69855.0,21229.0,359063.0,171600.0,55166.0,722.0,3881.0,37591.0,7445.0,2016
65,San Lorenzo,39283.0,16434.0,13716.0,18300.0,1840.0,10671.0,8289.0,6176.0,8452.0,8287.0,1758.0,39253.0,26693.0,200.0,62.0,580.0,2579.0,113.0,2016
66,San Sebastián,39755.0,17695.0,13870.0,22387.0,3612.0,7578.0,10637.0,7903.0,8590.0,10416.0,1762.0,39450.0,27339.0,345.0,47.0,299.0,2542.0,175.0,2016
67,Santa Isabel,22732.0,9380.0,7757.0,11449.0,885.0,9545.0,3341.0,3221.0,5769.0,5221.0,1682.0,22652.0,13843.0,345.0,18.0,271.0,1182.0,11.0,2016
68,Toa Alta,74467.0,25726.0,22375.0,22739.0,4766.0,13816.0,10053.0,8723.0,17840.0,13830.0,3210.0,74211.0,40772.0,288.0,202.0,961.0,1932.0,295.0,2016
69,Toa Baja,83645.0,34592.0,28261.0,30811.0,6672.0,12008.0,12143.0,13736.0,18501.0,19271.0,4155.0,83281.0,45591.0,984.0,64.0,1274.0,3706.0,335.0,2016
70,Trujillo Alto,70737.0,29505.0,24660.0,21023.0,2403.0,15760.0,7873.0,11207.0,15794.0,12836.0,3692.0,70309.0,38657.0,3885.0,9.0,1220.0,2900.0,788.0,2016
71,Utuado,30869.0,13368.0,10058.0,16103.0,2753.0,7841.0,6624.0,5624.0,6759.0,5409.0,1142.0,30755.0,20464.0,95.0,25.0,155.0,1746.0,102.0,2016
72,Vega Alta,39018.0,16128.0,12677.0,18572.0,2625.0,10448.0,8636.0,6103.0,9191.0,6509.0,1954.0,38578.0,24125.0,762.0,22.0,628.0,2088.0,895.0,2016
73,Vega Baja,55866.0,24739.0,17356.0,25518.0,2945.0,9632.0,15891.0,9566.0,12411.0,13342.0,2094.0,54051.0,32286.0,169.0,96.0,514.0,3132.0,318.0,2016
